"CAINC6N Compensation of Employees by NAICS Industry"
"(Thousands of dollars)" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","LineCode","Description","2018"
"29000","Missouri","1800","      Accommodation and food services",6510437
"29000","Missouri","1801","        Accommodation",1251571
"29000","Missouri","1802","        Food services and drinking places",5258866
"29000","Missouri","1900","      Other services (except government and government enterprises)",5654027
"29000","Missouri","1901","        Repair and maintenance",1271016
"29000","Missouri","1902","        Personal and laundry services",1017561
"29000","Missouri","1903","        Religious, grantmaking, civic, professional, and similar organizations",3184191
"29000","Missouri","1904","        Private households",181259
"29000","Missouri","2000","    Government and government enterprises",30518706
"29000","Missouri","2001","      Federal civilian",6078280
"29000","Missouri","2002","      Military",2000240
"29000","Missouri","2010","      State and local",22440186
"29000","Missouri","2011","        State government",5878976
"29000","Missouri","2012","        Local government",16561210
"17001","Adams, IL","","Total compensation of employees",""
"17001","Adams, IL","1","Compensation of employees (thousands of dollars) 1/",1959520
"17001","Adams, IL","5","  Wages and salaries",1545262
"17001","Adams, IL","6","  Supplements to wages and salaries",414258
"17001","Adams, IL","7","    Employer contributions for employee pension and insurance funds 2/",306515
"17001","Adams, IL","8","    Employer contributions for government social insurance",107743
"17001","Adams, IL","9","Average compensation per job (dollars) 3/",55368
"17001","Adams, IL","","Compensation of employees by industry",""
"17001","Adams, IL","81","  Farm compensation",4535
"17001","Adams, IL","82","  Nonfarm compensation",1954985
"17001","Adams, IL","90","    Private nonfarm compensation",1700481
"17001","Adams, IL","100","      Forestry, fishing, and related activities",1181
"17001","Adams, IL","101","        Forestry and logging",0
"17001","Adams, IL","102","        Fishing, hunting and trapping",0
"17001","Adams, IL","103","        Support activities for agriculture and forestry",1181
"17001","Adams, IL","200","      Mining, quarrying, and oil and gas extraction",18395
"17001","Adams, IL","201","        Oil and gas extraction",0
"17001","Adams, IL","202","        Mining (except oil and gas)","(D)"
"17001","Adams, IL","203","        Support activities for mining","(D)"
"17001","Adams, IL","300","      Utilities",15046
